name,product_code,brand,category,subcategory,family,reviews,rating,url_image,internet_price,normal_price,seller,url_product,price_diff_%
Top De Bikini Mujer Womens Secret,20547100,WOMEN SECRET,Moda y accesorios,Mujer,Moda Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20547100_1/w=800,h=800,fit=pad",79.9,149.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20547097/Top-De-Bikini-Mujer-Womens-Secret/20547100,46.6977985323549
Bikini Mujer Denimlab,883174406,DENIMLAB,Moda y accesorios,Mujer,Moda Mujer,4,4.5,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883174406_1/w=800,h=800,fit=pad",59.89,119.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883174405/Bikini-Mujer-Denimlab/883174406,50.05004170141785
Bikini Mujer Doo Australia,883174229,DOO AUSTRALIA,Moda y accesorios,Mujer,Moda Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883174229_1/w=800,h=800,fit=pad",89.9,129.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883174228/Bikini-Mujer-Doo-Australia/883174229,30.792917628945343
Sandalias Mujer Havaianas  Naranja,20697898,HAVAIANAS,Calzado y zapatillas,Zapatos,Zapatos Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20697898_1/w=800,h=800,fit=pad",39.92,49.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20697896/Sandalias-Mujer-Havaianas-Naranja/20697898,19.999999999999996
Sandalias Hombre Tides 2.0 Black,20733292,BILLABONG,Calzado y zapatillas,Zapatos,Zapatos Hombre,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20733292_1/w=800,h=800,fit=pad",71.92,89.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20733290/Sandalias-Hombre-Tides-2.0-Black/20733292,20.000000000000004
Sandalias Hombre Rider Negro,20640611,RIDER,Calzado y zapatillas,Zapatos,Zapatos Hombre,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20640611_1/w=800,h=800,fit=pad",27.93,39.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20640609/Sandalias-Hombre-Rider-Negro/20640611,30.0
Top De Bikini Mujer Womens Secret,20547126,WOMEN SECRET,Moda y accesorios,Mujer,Moda Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20547126_1/w=800,h=800,fit=pad",79.9,149.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20547122/Top-De-Bikini-Mujer-Womens-Secret/20547126,46.6977985323549
Hawaianas Sybilla Mujer De Dos Tiras,883210815,SYBILLA,Calzado y zapatillas,Zapatos,Zapatos Mujer,3,4.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883210815_1/w=800,h=800,fit=pad",19.9,49.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883210809/Hawaianas-Sybilla-Mujer-De-Dos-Tiras/883210815,60.120240480961925
Salida De Baño Stefano Cocci,883212056,STEFANO COCCI,Moda y accesorios,Mujer,Moda Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883212056_1/w=800,h=800,fit=pad",59.89,99.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883212053/Salida-De-Bano-Stefano-Cocci/883212056,40.050050050050054
Traje De Baño Niña Yamp,883223502,YAMP,Niños y Juguetería,Moda Infantil,Ropa de niñas,1,5.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883223502_1/w=800,h=800,fit=pad",19.89,29.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883223494/Traje-De-Bano-Nina-Yamp/883223502,33.47826086956521
