url,rating,reviews
https://www.falabella.com.pe/falabella-pe/product/883163135/Bikini-Mujer-Denimlab/883163138,4.7778,9
https://www.falabella.com.pe/falabella-pe/product/19472876/Colchoneta-Transparente-Deluxe-Bestway/19472876,0.0,0
https://www.falabella.com.pe/falabella-pe/product/883168107/Toalla-de-Playa-Poncho-Stitch-100-Algodon-Disney/883168107,0.0,0
https://www.falabella.com.pe/falabella-pe/product/883236068/Lentes-De-Buceo-Princesas/883236068,5.0,1
https://www.falabella.com.pe/falabella-pe/product/20654834/Fp-Magic-Ped-Fusion-Water-50/20654834,5.0,5
https://www.falabella.com.pe/falabella-pe/product/883231579/Juguete-Set-Balde-Playa-Sapo/883231579,0.0,0
https://www.falabella.com.pe/falabella-pe/product/883211905/Sombrero-de-playa-Mujer-Basement/883211907,3.0,1
https://www.falabella.com.pe/falabella-pe/product/20509314/Toalla-de-Playa-Infantil-Spiderman-100-Algodon-70x140cm/20509314,4.0,1
https://www.falabella.com.pe/falabella-pe/product/18727573/Sun-Bum-Lip-Balm-SPF-30-Banana/18727573,4.0,1
https://www.falabella.com.pe/falabella-pe/product/883174390/Bikini-Mujer-Denimlab/883174391,5.0,1
https://www.falabella.com.pe/falabella-pe/product/883211857/Sombrero-de-playa-Mujer-Basement/883211859,5.0,1
https://www.falabella.com.pe/falabella-pe/product/18728887/Crema-Despigmentante-DSP-Cream-Fps-50+-40-ml-/18728887,4.3333,3
https://www.falabella.com.pe/falabella-pe/product/883216049/Lentes-De-Sol-Basement/883216050,3.0,2
https://www.falabella.com.pe/falabella-pe/product/882131751/Piscina-Pro-Oval-4.88x3.05m/882131751,5.0,3
https://www.falabella.com.pe/falabella-pe/product/883236086/Lentes-De-Buceo-Spiderman/883236086,4.5,2
https://www.falabella.com.pe/falabella-pe/product/882108920/Bowl-Limones-Basement-Home/882108920,4.3636,11
https://www.falabella.com.pe/falabella-pe/product/20659582/Pareo-Basement/20659584,0.0,0
https://www.falabella.com.pe/falabella-pe/product/882642739/Sandalias-Mujer-Doo-Australia-Atrenza3-Ne/883237184,4.6667,6
https://www.falabella.com.pe/falabella-pe/product/20659592/Pareo-Basement/20659594,0.0,0
https://www.falabella.com.pe/falabella-pe/product/20546639/Bolso-De-Playa-Algodon-Mujer-Womens-Secret/20546640,0.0,0
https://www.falabella.com.pe/falabella-pe/product/883174053/Calzon-De-Bikini-Mujer-Basement/883174061,4.6,10
https://www.falabella.com.pe/falabella-pe/product/18960888/Protector-Solar-Anthelios-UVMune-400-Fluido-con-color-FPS-50+-50ml/18960888,4.6881,109
https://www.falabella.com.pe/falabella-pe/product/18962452/ISDIN-Fotoprotector-Fusion-Water-Color-LIGHT-SPF50-50ML-Bloqueador-solar-facial-con-color-Oil-Control/18962452,4.7901,243
https://www.falabella.com.pe/falabella-pe/product/883212104/Sombrero-de-playa-Mujer-Sybilla/883212105,3.0,1
https://www.falabella.com.pe/falabella-pe/product/883174410/Bikini-Mujer-Denimlab/883174412,0.0,0
https://www.falabella.com.pe/falabella-pe/product/16202824/ISDIN-Fotoprotector-Fusion-Fluid-MINERAL-SPF50-50ML-Bloqueador-solar-facial-para-pieles-muy-sensibles/16202824,4.2692,52
https://www.falabella.com.pe/falabella-pe/product/20546959/Calzon-De-Bikini-Mujer-Womens-Secret/20546963,0.0,0
https://www.falabella.com.pe/falabella-pe/product/883212151/Sombrero-de-playa-Mujer-Sybilla/883212152,5.0,1
https://www.falabella.com.pe/falabella-pe/product/883294263/Traje-De-Bano-Nina-Manga-Larga-Yamp/883294264,5.0,2
https://www.falabella.com.pe/falabella-pe/product/883173705/Ropa-De-Bano-Mujer-Sybilla/883173710,5.0,1
https://www.falabella.com.pe/falabella-pe/product/882642816/Sandalias-Mujer-Doo-Australia-Atrenza3-Bl/883237205,3.6667,3
https://www.falabella.com.pe/falabella-pe/product/883220355/Sandalias-Hombre-La-Martina-Facu/883220363,1.0,3
https://www.falabella.com.pe/falabella-pe/product/883237124/Sandalias-Mujer-Doo-Australia-Atrenza-Rosado/883237127,4.75,4
https://www.falabella.com.pe/falabella-pe/product/883237213/Sandalias-Mujer-Doo-Australia-Flipmu/883237218,5.0,4
https://www.falabella.com.pe/falabella-pe/product/883237152/Sandalias-Mujer-Doo-Australia-Flipmu-Negro/883237154,4.6667,3
https://www.falabella.com.pe/falabella-pe/product/17343882/Flotador-Dragon-Fruit-1.71-x-0.89m/17343882,0.0,0
https://www.falabella.com.pe/falabella-pe/product/16595916/Flotadores-Surtidos-De-Animales/16595916,0.0,0
https://www.falabella.com.pe/falabella-pe/product/19472867/Piscina-Inflable-Familia-3.05m-Bestway/19472867,0.0,0
